key,en,fa,pl
menu.project,Project,پروژه,Projekt
menu.project.new_project,New Project,پروژه جدید,Nowy projekt
menu.project.open_project,Open Project,باز کردن پروژه,Otwórz projekt
menu.project.recent_projects,Recent Projects,پروژه‌های اخیر,Ostatnie projekty
menu.project.close_project,Close Project,بستن پروژه,Zamknij projekt
menu.project.project_settings,Project Settings,تنظیمات پروژه,Ustawienia projektu
menu.file,File,فایل,Plik
menu.file.new,New,جدید,Nowy
menu.file.new_window,New Window,پنجره جدید,Nowe okno
menu.file.new_with_template,New With Template,جدید با قالب,Nowy z szablonu
menu.file.open,Open...,باز کردن...,Otwórz...
menu.file.recent_files,Recent Files,فایل‌های اخیر,Ostatnie pliki
menu.file.save,Save,ذخیره,Zapisz
menu.file.save_as,Save As...,ذخیره به عنوان...,Zapisz jako...
menu.file.reload,Reload,بارگذاری مجدد,Załaduj ponownie
menu.file.close,Close,بستن,Zamknij
menu.file.backup_create,Create Backup...,ایجاد پشتیبان...,Stwórz kopię...
menu.file.backup_load,Load From Backup...,بارگذاری از پشتیبان...,Wczytaj kopię...
menu.file.copy_path,Copy Path,کپی مسیر,Skopiuj ścieżkę
menu.file.show_in_filesystem,Show In FileSystem,نمایش در فایل‌ها,Pokaż w eksploratorze plików
menu.file.secure_delete,Secure Delete,حذف امن,Bezpieczne usuwanie
menu.file.restart,Restart,راه‌اندازی دوباره,Uruchom ponownie
menu.file.exit,Exit,خروج,Zakończ
menu.edit,Edit,ویرایش,Edytuj
menu.edit.undo,Undo,واگرد,Cofnij
menu.edit.redo,Redo,بازانجام,Ponów
menu.edit.cut,Cut,برش,Wytnij
menu.edit.copy,Copy,کپی,Kopiuj
menu.edit.paste,Paste,چسباندن,Wklej
menu.edit.delete,Delete,حذف,Usuń
menu.edit.select_all,Select All,انتخاب همه,Zaznacz wszystko
menu.edit.select_next_occurence,Select Next Occurrence,انتخاب مشابه بعدی,Zaznacz następne wystąpienie
menu.edit.select_all_occurences,Select All Occurrences,انتخاب همه مشابهات,Zaznacz wszystkie wystąpienia
menu.edit.duplicate_selection,Duplicate Selection,تکثیر انتخاب,Zduplikuj zaznaczenie
menu.edit.evaluate_selection,Evaluate Selection,محاسبه انتخاب,Przelicz zaznaczenie
menu.edit.line,Line,خط,Linia
menu.edit.line.move_up,Move Lines Up,انتقال خطوط به بالا,Przesuń linie do góry
menu.edit.line.move_down,Move Lines Down,انتقال خطوط به پایین,Przesuń linie w dół
menu.edit.line.indent,Indent,ایجاد تورفتگی,Wcięcie
menu.edit.line.unindent,Unindent,حذف تورفتگی,Usuń wcięcie
menu.edit.line.delete,Delete Lines,حذف خطوط,Usuń linie
menu.edit.line.toggle_comment,Toggle Comment,تغییر وضعیت کامنت,Przełącz komentarz
menu.edit.line.duplicate,Duplicate Lines,تکثیر خطوط,Zduplikuj linie
menu.edit.line.select_whole,Select Whole Line,انتخاب کل خط,Zaznacz całą linię
menu.edit.line.select_paragraph,Select Paragraph,انتخاب بند,Zaznacz akapit
menu.edit.line.join,Join Lines,ادغام خطوط,Połącz linie
menu.edit.line.move_to_new_file,Move To New File,انتقال به فایل جدید,Przenieś do nowego pliku
menu.edit.completion_query,Completion Query,درخواست تکمیل,Zapytanie o uzupełnienie
menu.edit.convert_case,Convert Case,تبدیل حروف,Zmień wielkość liter
menu.edit.convert_case.upper,UPPER,حروف بزرگ,DUŻE
menu.edit.convert_case.lower,lower,حروف کوچک,małe
menu.edit.convert_case.capitalize,Capitalize,حرف اول بزرگ,Pierwsza litera duża
menu.edit.convert_case.camel,camelCase,camelCase,camelCase
menu.edit.convert_case.pascal,PascalCase,PascalCase,PascalCase
menu.edit.convert_case.snake,snake_case,snake_case,snake_case
menu.search,Search,جستجو,Szukaj
menu.search.find_and_replace,Find and Replace...,یافتن و جایگزینی...,Znajdź i zamień...
menu.search.find_next,Find Next,یافتن بعدی,Znajdź następny
menu.search.find_prev,Find Previous,یافتن قبلی,Znajdź poprzedni
menu.search.replace_all,Replace All,جایگزینی همه,Zamień wszystko
menu.go_to,Go To,رفتن,Przejdź do
menu.go_to.line,Go To Line...,برو به خط...,Przejdź do linii...
menu.go_to.code_regions,Code Regions...,محدوده‌های کد...,Regiony kodu...
menu.go_to.insert_nav_mark,Insert Navigation Mark,افزودن علامت ناوبری,Wstaw znacznik nawigacji
